ID,DR,Gaia,RAhRAmRAs,DEdDEmDEs,Gmag,GBPmag,GRPmag,N,RMS,Mm,n_
W2346,DR2,6045466605737118848,162335.48,-262830.4,18.34,,,3493,51.61,,N.D.
W2347,DR2,6045478459856713600,162335.49,-262717.1,16.07,16.64,15.29,3615,2.92,1.000,
W2348,DR2,6045466502667169280,162335.51,-262937.3,17.37,17.82,16.58,3515,31.98,1.000,
W2349,DR2,6045478455551065728,162335.52,-262731.8,18.74,19.08,17.68,3600,16.23,1.000,
W2350,DR2,6045466605746436608,162335.54,-262832.5,13.04,13.64,12.29,3670,0.87,1.000,
W2351,DR2,6045466708825666816,162335.54,-262744.3,16.91,17.39,16.16,3624,4.27,1.000,
W2352,DR2,6045478459856691968,162335.57,-262739.1,15.70,16.35,14.88,3628,1.04,1.000,
W2353,DR2,6045466502667182720,162335.58,-262923.4,16.90,17.34,16.10,3609,17.38,1.000,
W2354,DR2,6045466605746447104,162335.59,-262806.5,16.43,16.89,15.70,3637,3.22,1.000,
W2355,DR2,6045478459849652224,162335.60,-262648.6,19.04,19.38,17.98,3617,15.58,1.000,
W2356,DR2,6045502236796393216,162335.61,-262414.9,17.15,17.65,16.40,3632,3.03,1.000,
W2357,DR2,6045466502657697792,162335.61,-262933.8,17.87,18.23,16.96,3433,43.34,1.000,
W2358,DR2,6045466601435720576,162335.62,-262809.0,16.33,16.82,15.56,3637,2.36,1.000,
W2359,DR2,6045466605746429696,162335.62,-262843.8,16.92,17.03,15.92,3572,33.61,1.000,
W2360,DR2,6045466605746444544,162335.64,-262814.0,16.91,17.12,15.73,3624,3.61,1.000,
W2361,DR2,6045466605737643136,162335.65,-262847.1,18.64,18.85,17.42,3307,120.92,1.000,
W2362,DR2,6045466605746433536,162335.68,-262838.5,13.27,13.57,12.79,3666,0.95,1.000,
W2363,DR2,6045466537026927232,162335.71,-262913.5,16.39,16.70,15.41,3651,2.69,,N.D.
W2364,DR2,6045466537026938240,162335.71,-262904.2,17.27,17.75,16.51,3619,7.75,1.000,
W2365,DR2,6045478562928227200,162335.74,-262623.1,18.66,18.27,17.25,1859,114.81,1.000,
W2366,DR2,6045466502657639040,162335.75,-262943.5,17.38,17.76,16.43,3646,12.48,,N.D.
W2367,DR2,6045502339875617536,162335.75,-262341.3,17.00,17.51,16.25,3615,2.90,1.000,
W2368,DR2,6045503198862780288,162335.75,-262201.6,19.04,19.59,18.05,3619,13.37,1.000,
W2369,DR2,6045466605737090560,162335.79,-262842.4,16.48,16.84,15.63,3625,23.49,1.000,
W2370,DR2,6045502339869255424,162335.81,-262350.9,18.62,18.93,17.51,3600,12.70,1.000,
W2371,DR2,6045503198869090816,162335.82,-262239.3,19.04,19.18,17.86,3637,14.00,0.054,
W2372,DR2,6045478455546770944,162335.83,-262646.6,18.60,18.97,17.71,3637,10.65,0.000,
W2373,DR2,6045478459848814976,162335.84,-262736.9,18.93,19.21,17.90,2879,101.08,1.000,
W2374,DR2,6045466704516500224,162335.85,-262802.6,18.78,19.14,17.68,3606,16.38,1.000,
W2375,DR2,6045466502667161344,162335.85,-262940.2,18.35,,,3616,46.85,,N.D.
W2376,DR2,6045478562936216448,162335.86,-262541.1,18.39,18.44,17.02,3636,826.04,1.000,
W2377,DR2,6045502335564003200,162335.87,-262346.2,18.66,19.15,17.74,3591,8.99,1.000,
W2378,DR2,6045466537017501184,162335.88,-262914.3,16.99,17.43,16.18,3629,5.27,1.000,
W2379,DR2,6045478459856701824,162335.88,-262724.8,17.20,17.56,16.36,3589,6.88,1.000,
W2380,DR2,6045466605746422400,162335.89,-262849.7,18.66,18.69,17.06,3386,103.72,1.000,
W2381,DR2,6045502236796386560,162335.89,-262438.2,17.31,17.83,16.54,3610,3.24,1.000,
W2382,DR2,6045466502657742464,162335.90,-262919.8,18.37,,,2327,219.66,1.000,
W2383,DR2,6045466498362114560,162335.91,-262930.7,13.03,13.52,12.32,3706,0.68,1.000,
